Model,MAE,RMSE,R2 Score
Linear Regression,794.4043325375275,1157.388999155116,0.025821855280982242
Random Forest,786.9913198558797,1097.9822827235505,0.1232609580920282
LSTM,524.8525558214279,803.9605926832007,0.5302031868394937
GRU,499.189867510697,762.1183658982275,0.5778319152210638
